team_name,opponent_name,team_city,opponent_city,distance
Arronches e Benfica,Vianense,Arronches,Viana do Castelo,314
Atlético Arcos,Gafanha,Arcos de Valdevez,Gafanha da Nazaré,137
Atlético Arcos,Minas de Argozelo,Arcos de Valdevez,Vimioso,152
Atlético Arcos,Praiense,Arcos de Valdevez,Praia da Vitória,1620
Atlético Arcos,Torcatense,Arcos de Valdevez,Guimarães,42
Atlético CP,Alverca,Lisbon,Alverca do Ribatejo,22
Atlético CP,Vizela,Lisbon,Vizela,305
Atlético Reguengos,Olhanense,Reguengos de Monsaraz,Olhão,157
Atlético Reguengos,Quarteirense SAD,Reguengos de Monsaraz,,7593
Atlético Riachense,União Idanhense,Riachos,Idanha-a-Nova,122
Aves,Caldas,Vila das Aves,Caldas da Rainha,226
Aves,Pacos Ferreira,Vila das Aves,Paços de Ferreira,11
Aves,SC Braga,Vila das Aves,Braga,22
Aves,Sporting CP,Vila das Aves,Lisbon,302
Barrosas,Oliveirense,Felgueiras,Oliveira de Azeméis,58
Beira-Mar,AR São Martinho,Aveiro,São Martinho,1155
Beira-Mar,Bustelo,Aveiro,Oliveira de Azeméis,29
Beira-Mar,Oliveira Hospital,Aveiro,Oliveira do Hospital,79
Beira-Mar,Pampilhosense,Aveiro,Pampilhosa da Serra,89
Beira-Mar,Pevidem,Aveiro,Guimarães,91
Beira-Mar,Santa Clara,Aveiro,Ponta Delgada,1504
Belenenses,Espinho,Lisbon,Espinho,259
Belenenses,Machico,Lisbon,Machico,957
Belenenses,Pêro Pinheiro,Lisbon,Sintra,22
Beneditense,Armacenenses,Benedita,Armação de Pêra,263
Beneditense,Santa Iria,Benedita,Santa Iria de Azóia,65
Benfica,Arouca,Lisbon,Arouca,256
Benfica,Belenenses,Lisbon,Lisbon,7
Benfica,FC Porto,Lisbon,Porto,264
Benfica,Famalicao,Lisbon,Famalicão,301
Benfica,Guimaraes,Lisbon,Guimarães,308
Benfica,Leixoes,Lisbon,Matosinhos,274
Benfica,Maritimo,Lisbon,Funchal,973
Benfica,Pacos Ferreira,Lisbon,Paços de Ferreira,289
Benfica,Rio Ave,Lisbon,Vila do Conde,292
Benfica,Sporting CP,Lisbon,Lisbon,7
Benfica,Vilafranquense,Lisbon,Vila Franca de Xira,29
Benfica,Vitoria Setubal,Lisbon,Setúbal,37
Benfica Castelo Branco,Farense,Castelo Branco,Faro,314
Benfica Castelo Branco,Leiria e Marrazes,Castelo Branco,Leiria,112
Benfica Castelo Branco,Matamourisquense,Castelo Branco,Mação,50
