Team_name,Opponent_name,Distance
Vfl Bochum,FC Augsburg,437
Vfl Bochum,FC Kaiserslautern,232
Vfl Bochum,SC Freiburg,394
Vfl Bochum,TSV 1860 Munich,489
Victoria Hamburg,Hannover 96,248
Victoria Hamburg,SC Freiburg,636
Viktoria Berlin,Arminia Bielefeld,330
Viktoria Berlin,Eintracht Frankfurt,417
Viktoria Berlin,Vfl Bochum,434
Wacker Burghausen,Fortuna Dusseldorf,550
Wacker Nordhausen,Erzgebirge AUE,168
Waldhof Mannheim,Eintracht Frankfurt,70
Waldhof Mannheim,FC Nurnberg,192
Waldhof Mannheim,Holstein Kiel,547
Waldhof Mannheim,SC Freiburg,176
Waldhof Mannheim,Union Berlin,483
Waldkirch,SpVgg Greuther Furth,272
Weiche Flensburg,Holstein Kiel,68
Weiche Flensburg,Vfl Bochum,390
Weiche Flensburg,Werder Bremen,193
Werder Bremen,1.FC Köln,275
Werder Bremen,1899 Hoffenheim,422
Werder Bremen,RB Leipzig,307
Werder Bremen,SC Freiburg,569
Werder Bremen,SpVgg Greuther Furth,424
Wiedenbrück,1.FC Köln,142
Wiedenbrück,Fortuna Dusseldorf,124
Wiedenbrück,SC Paderborn 07,31
Wiedenbrück,SV Sandhausen,279
Wilhelmshaven,Borussia Dortmund,255
Wilhelmshaven,FC Augsburg,606
Wormatia Worms,1.FC Köln,175
Wormatia Worms,Hertha Berlin,470
Wormatia Worms,Werder Bremen,384
Wuppertaler SV,Vfl Bochum,25
ZFC Meuselwitz,Hertha Berlin,176
Zweibrücken,FSV Mainz 05,105
