Team_name,Opponent_name,Distance
Eintracht Frankfurt,Werder Bremen,334
Eintracht Norderstedt,Bayer Leverkusen,359
Eintracht Norderstedt,Hannover 96,146
Eintracht Norderstedt,SpVgg Greuther Furth,470
Eintracht Norderstedt,VfL Wolfsburg,149
Eintracht Trier,1.FC Köln,128
Eintracht Trier,Borussia Dortmund,230
Eintracht Trier,FC St. Pauli,479
Eintracht Trier,Hamburger SV,429
Eintracht Trier,SC Freiburg,218
Energie Cottbus,Bayern Munich,446
Energie Cottbus,FSV Mainz 05,471
Energie Cottbus,Hamburger SV,428
Energie Cottbus,SC Freiburg,624
Energie Cottbus,SC Paderborn 07,388
Energie Cottbus,VfB Stuttgart,491
Energie Cottbus,Werder Bremen,402
Erzgebirge AUE,Eintracht Frankfurt,294
Erzgebirge AUE,FC Heidenheim,284
Erzgebirge AUE,FC Nurnberg,172
Erzgebirge AUE,SpVgg Greuther Furth,173
Erzgebirge Aue,FC Ingolstadt 04,225
Erzgebirge Aue,FSV Mainz 05,324
FC 08 Homburg,Borussia Monchengladbach,216
FC 08 Homburg,FC St. Pauli,505
FC 08 Homburg,SV Darmstadt 98,116
FC 08 Homburg,SpVgg Greuther Furth,266
FC 08 Homburg,VfB Stuttgart,149
FC 08 Villingen,FC Schalke 04,402
FC 08 Villingen,Fortuna Dusseldorf,371
FC Astoria Walldorf,Arminia Bielefeld,301
FC Astoria Walldorf,Hannover 96,349
FC Astoria Walldorf,SV Darmstadt 98,64
FC Astoria Walldorf,Union Berlin,492
FC Astoria Walldorf,Vfl Bochum,264
FC Augsburg,Bayern Munich,52
FC Augsburg,Borussia Dortmund,356
FC Augsburg,FSV Mainz 05,265
FC Gutersloh,Holstein Kiel,294
FC Heidenheim,Bayer Leverkusen,346
FC Heidenheim,Borussia Monchengladbach,385
FC Heidenheim,Eintracht Frankfurt,190
FC Heidenheim,Hertha Berlin,481
FC Heidenheim,TSV 1860 Munich,123
FC Heidenheim,Union Berlin,486
FC Heidenheim,Vfl Bochum,377
FC Heidenheim,Werder Bremen,498
FC Ingolstadt 04,Erzgebirge AUE,225
FC Ingolstadt 04,FC Nurnberg,78
FC Ingolstadt 04,Fortuna Dusseldorf,428
FC Ingolstadt 04,SV Darmstadt 98,236
FC Kaiserslautern,1.FC Köln,174
FC Kaiserslautern,1899 Hoffenheim,80
FC Kaiserslautern,Borussia Monchengladbach,215
FC Kaiserslautern,FC Nurnberg,244
FC Kaiserslautern,FSV Mainz 05,71
FC Kaiserslautern,Fortuna Dusseldorf,209
FC Kaiserslautern,Jahn Regensburg,317
FC Kaiserslautern,SC Freiburg,162
FC Kaiserslautern,SpVgg Greuther Furth,234
FC Kaiserslautern,VfB Stuttgart,128
FC Lok Stendal,Arminia Bielefeld,234
FC Magdeburg,Bayer Leverkusen,345
FC Magdeburg,Borussia Dortmund,214
FC Magdeburg,Eintracht Frankfurt,311
FC Magdeburg,Energie Cottbus,190
FC Magdeburg,FC Augsburg,422
FC Magdeburg,FC St. Pauli,194
FC Magdeburg,Fortuna Dusseldorf,348
FC Magdeburg,SC Freiburg,533
FC Magdeburg,SV Darmstadt 98,327
FC Nottingen,Bayern Munich,234
FC Nottingen,FC Schalke 04,312
FC Nottingen,Hannover 96,392
FC Nottingen,Vfl Bochum,302
FC Nurnberg,FC Schalke 04,373
FC Nurnberg,Fortuna Dusseldorf,373
