team_name,opponent_name,Distance,distance
TuS RW Koblenz,Fortuna Dusseldorf,,
TuS RW Koblenz,Jahn Regensburg,,
Tus Dassendorf,Dynamo Dresden,,
Tus Dassendorf,MSV Duisburg,,
Türkgücü-Ataspor,Union Berlin,,
Union Berlin,FC Kaiserslautern,,
Union Berlin,FC St. Pauli,,
Union Berlin,SC Paderborn 07,,
Union Berlin,VfL Wolfsburg,,
Union Fürstenwalde,VfL Wolfsburg,,
Verl,FC Augsburg,,
Verl,Holstein Kiel,,
Verl,Union Berlin,,
VfB Lubeck,1899 Hoffenheim,,
VfB Lubeck,Eintracht Braunschweig,,
VfB Lubeck,FC St. Pauli,,
VfB Lubeck,FSV Mainz 05,,
VfB Lubeck,Hansa Rostock,,
VfB Lubeck,SC Paderborn 07,,
VfB Oldenburg,Hamburger SV,,
VfB Stuttgart,1.FC Köln,,
VfB Stuttgart,Arminia Bielefeld,,
VfB Stuttgart,Bayern Munich,,
VfB Stuttgart,Borussia Dortmund,,
VfB Stuttgart,Eintracht Braunschweig,,
VfB Stuttgart,Eintracht Frankfurt,,
VfB Stuttgart,FC St. Pauli,,
VfB Stuttgart,FSV Frankfurt,,
VfB Stuttgart,Hamburger SV,,
VfB Stuttgart,SC Freiburg,,
VfB Stuttgart,Union Berlin,,
VfB Stuttgart,Vfl Bochum,,
VfL Oldenburg,Fortuna Dusseldorf,,
VfL Osnabruck,Erzgebirge AUE,,
VfL Osnabruck,FC Nurnberg,,
VfL Osnabruck,Hamburger SV,,
VfL Osnabruck,RB Leipzig,,
VfL Osnabruck,SC Freiburg,,
VfL Osnabruck,TSV 1860 Munich,,
VfL Osnabruck,Union Berlin,,
VfL Osnabruck,Werder Bremen,,
VfL Wolfsburg,Bayer Leverkusen,,
VfL Wolfsburg,FC Heidenheim,,
VfL Wolfsburg,FC Ingolstadt 04,,
VfL Wolfsburg,FSV Frankfurt,,
VfL Wolfsburg,Hannover 96,,
VfL Wolfsburg,SC Freiburg,,
VfL Wolfsburg,SV Sandhausen,,
VfL Wolfsburg,VfR Aalen,,
VfR Aalen,1899 Hoffenheim,,
VfR Aalen,Borussia Dortmund,,
VfR Aalen,FC Ingolstadt 04,,
VfR Aalen,FC Nurnberg,,
VfR Aalen,Hannover 96,,
VfR Neumünster,Hertha Berlin,,
Vfl Bochum,Bayern Munich,,
Vfl Bochum,Borussia Dortmund,,
Vfl Bochum,FC Augsburg,,
Vfl Bochum,FC Kaiserslautern,,
Vfl Bochum,SC Freiburg,,
Vfl Bochum,TSV 1860 Munich,,
Victoria Hamburg,Hannover 96,,
Victoria Hamburg,SC Freiburg,,
Viktoria Berlin,Arminia Bielefeld,,
Viktoria Berlin,Eintracht Frankfurt,,
Viktoria Berlin,Vfl Bochum,,
Wacker Burghausen,Fortuna Dusseldorf,,
Wacker Nordhausen,Erzgebirge AUE,,
Waldhof Mannheim,Eintracht Frankfurt,,
Waldhof Mannheim,FC Nurnberg,,
Waldhof Mannheim,Holstein Kiel,,
Waldhof Mannheim,SC Freiburg,,
Waldhof Mannheim,Union Berlin,,
Waldkirch,SpVgg Greuther Furth,,
Weiche Flensburg,Holstein Kiel,,
Weiche Flensburg,Vfl Bochum,,
Weiche Flensburg,Werder Bremen,,
Werder Bremen,1.FC Köln,,
Werder Bremen,1899 Hoffenheim,,
Werder Bremen,RB Leipzig,,
Werder Bremen,SC Freiburg,,
Werder Bremen,SpVgg Greuther Furth,,
Wiedenbrück,1.FC Köln,,
Wiedenbrück,Fortuna Dusseldorf,,
Wiedenbrück,SC Paderborn 07,,
Wiedenbrück,SV Sandhausen,,
Wilhelmshaven,Borussia Dortmund,,
Wilhelmshaven,FC Augsburg,,
Wormatia Worms,1.FC Köln,,
Wormatia Worms,Hertha Berlin,,
Wormatia Worms,Werder Bremen,,
Wuppertaler SV,Vfl Bochum,,
ZFC Meuselwitz,Hertha Berlin,,
Zweibrücken,FSV Mainz 05,,
