team_name,opponent_name,Distance,distance
Dynamo Dresden,Arminia Bielefeld,,380.0
Dynamo Dresden,Bayer Leverkusen,,478.0
Dynamo Dresden,FC Schalke 04,,474.0
Dynamo Dresden,FC St. Pauli,,387.0
Dynamo Dresden,Hamburger SV,,336.0
Dynamo Dresden,RB Leipzig,,110.0
Dynamo Dresden,SC Paderborn 07,,363.0
Dynamo Dresden,SV Darmstadt 98,,385.0
Dynamo Dresden,VfB Stuttgart,,410.0
Dynamo Dresden,Vfl Bochum,,462.0
Düren Merzenich,Bayern Munich,,469.0
Eichstätt,Hertha Berlin,,428.0
Eimsbütteler TV,SpVgg Greuther Furth,,459.0
Einheit Wernigerode,SC Paderborn 07,,143.0
Eintracht Braunschweig,Bayern Munich,,463.0
Eintracht Braunschweig,Borussia Dortmund,,160.0
Eintracht Braunschweig,FC Schalke 04,,251.0
Eintracht Braunschweig,Hamburger SV,,466.0
Eintracht Braunschweig,Hertha Berlin,,187.0
Eintracht Braunschweig,SC Freiburg,,514.0
Eintracht Braunschweig,VfL Wolfsburg,,25.0
Eintracht Celle,FC Augsburg,,252.0
Eintracht Frankfurt,Arminia Bielefeld,,217.0
Eintracht Frankfurt,Borussia Dortmund,,136.0
Eintracht Frankfurt,Borussia Monchengladbach,,198.0
Eintracht Frankfurt,FC Ingolstadt 04,,248.0
Eintracht Frankfurt,FC Kaiserslautern,,94.0
Eintracht Frankfurt,FSV Mainz 05,,30.0
Eintracht Frankfurt,RB Leipzig,,297.0
Eintracht Frankfurt,SV Darmstadt 98,,21.0
Eintracht Frankfurt,SV Sandhausen,,82.0
Eintracht Frankfurt,Union Berlin,,434.0
Eintracht Frankfurt,Vfl Bochum,,188.0
Eintracht Frankfurt,Werder Bremen,,334.0
Eintracht Norderstedt,Bayer Leverkusen,,359.0
Eintracht Norderstedt,Hannover 96,,146.0
Eintracht Norderstedt,SpVgg Greuther Furth,,470.0
Eintracht Norderstedt,VfL Wolfsburg,,149.0
Eintracht Trier,1.FC Köln,,128.0
Eintracht Trier,Borussia Dortmund,,230.0
Eintracht Trier,FC St. Pauli,,479.0
Eintracht Trier,Hamburger SV,,429.0
Eintracht Trier,SC Freiburg,,218.0
Energie Cottbus,Bayern Munich,,446.0
Energie Cottbus,FSV Mainz 05,,471.0
Energie Cottbus,Hamburger SV,,428.0
Energie Cottbus,SC Freiburg,,624.0
Energie Cottbus,SC Paderborn 07,,388.0
Energie Cottbus,VfB Stuttgart,,491.0
Energie Cottbus,Werder Bremen,,402.0
Erzgebirge AUE,Eintracht Frankfurt,,294.0
Erzgebirge AUE,FC Heidenheim,,284.0
Erzgebirge AUE,FC Nurnberg,,172.0
Erzgebirge AUE,SpVgg Greuther Furth,,173.0
Erzgebirge Aue,FC Ingolstadt 04,,225.0
Erzgebirge Aue,FSV Mainz 05,,324.0
FC 08 Homburg,Borussia Monchengladbach,,216.0
FC 08 Homburg,FC St. Pauli,,505.0
FC 08 Homburg,SV Darmstadt 98,,116.0
FC 08 Homburg,SpVgg Greuther Furth,,266.0
FC 08 Homburg,VfB Stuttgart,,149.0
FC 08 Villingen,FC Schalke 04,,402.0
FC 08 Villingen,Fortuna Dusseldorf,,371.0
FC Astoria Walldorf,Arminia Bielefeld,,301.0
FC Astoria Walldorf,Hannover 96,,349.0
FC Astoria Walldorf,SV Darmstadt 98,,64.0
FC Astoria Walldorf,Union Berlin,,492.0
FC Astoria Walldorf,Vfl Bochum,,264.0
FC Augsburg,Bayern Munich,,52.0
FC Augsburg,Borussia Dortmund,,356.0
FC Augsburg,FSV Mainz 05,,265.0
FC Gutersloh,Holstein Kiel,,294.0
FC Heidenheim,Bayer Leverkusen,,346.0
FC Heidenheim,Borussia Monchengladbach,,385.0
FC Heidenheim,Eintracht Frankfurt,,190.0
FC Heidenheim,Hertha Berlin,,481.0
FC Heidenheim,TSV 1860 Munich,,123.0
FC Heidenheim,Union Berlin,,486.0
FC Heidenheim,Vfl Bochum,,377.0
FC Heidenheim,Werder Bremen,,498.0
FC Ingolstadt 04,Erzgebirge AUE,,225.0
FC Ingolstadt 04,FC Nurnberg,,78.0
FC Ingolstadt 04,Fortuna Dusseldorf,,428.0
FC Ingolstadt 04,SV Darmstadt 98,,236.0
FC Kaiserslautern,1.FC Köln,,174.0
FC Kaiserslautern,1899 Hoffenheim,,80.0
FC Kaiserslautern,Borussia Monchengladbach,,215.0
FC Kaiserslautern,FC Nurnberg,,244.0
FC Kaiserslautern,FSV Mainz 05,,71.0
FC Kaiserslautern,Fortuna Dusseldorf,,209.0
FC Kaiserslautern,Jahn Regensburg,,317.0
FC Kaiserslautern,SC Freiburg,,162.0
FC Kaiserslautern,SpVgg Greuther Furth,,234.0
FC Kaiserslautern,VfB Stuttgart,,128.0
FC Lok Stendal,Arminia Bielefeld,,234.0
FC Magdeburg,Bayer Leverkusen,,345.0
FC Magdeburg,Borussia Dortmund,,214.0
FC Magdeburg,Eintracht Frankfurt,,311.0
FC Magdeburg,Energie Cottbus,,190.0
FC Magdeburg,FC Augsburg,,422.0
FC Magdeburg,FC St. Pauli,,194.0
FC Magdeburg,Fortuna Dusseldorf,,348.0
FC Magdeburg,SC Freiburg,,533.0
FC Magdeburg,SV Darmstadt 98,,325.0
FC Nottingen,Bayern Munich,,234.0
FC Nottingen,FC Schalke 04,,312.0
FC Nottingen,Hannover 96,,392.0
FC Nottingen,Vfl Bochum,,302.0
FC Nurnberg,FC Schalke 04,,373.0
FC Nurnberg,Fortuna Dusseldorf,,365.0
FC Nurnberg,Hertha Berlin,,373.0
