year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,division,opponent_rank_prev,team_rank_prev,team_rank,Rank_diff,const,team_max_stage,distance,best_match,match_ratio,league,team_name_fin,team_size,mean_age,foreigners,mean_value,total_value
2012,Quarter-finals,4,559944,2013-02-26T19:30:00+00:00,Kickers Offenbach,1628,VfL Wolfsburg,161,0.0,home,90.0,Sparda-Bank-Hessen-Stadion,1.0,8.0,44.0,51.0,-36.0,1,4,0,Kickers Offenbach,1.0,Bundesliga_3,Kickers Offenbach,29.0,24.8,3.0,0.223,6.48
2012,Quarter-finals,4,559944,2013-02-26T19:30:00+00:00,VfL Wolfsburg,161,Kickers Offenbach,1628,1.0,away,90.0,Sparda-Bank-Hessen-Stadion,3.0,44.0,8.0,11.0,36.0,1,5,296,VfL Wolfsburg,1.0,Bundesliga,VfL Wolfsburg,36.0,25.8,26.0,3.03,109.0
2012,Quarter-finals,4,559945,2013-02-27T18:00:00+00:00,VfB Stuttgart,172,Vfl Bochum,176,1.0,home,90.0,Mercedes-Benz-Arena,2.0,29.0,6.0,12.0,23.0,1,6,0,VfB Stuttgart,1.0,Bundesliga,VfB Stuttgart,34.0,25.4,19.0,2.74,93.13
2012,Quarter-finals,4,559946,2013-02-27T19:30:00+00:00,Bayern Munich,157,Borussia Dortmund,165,1.0,home,90.0,Allianz-Arena,1.0,1.0,2.0,1.0,-1.0,1,6,0,Bayern Munich,1.0,Bundesliga,Bayern Munich,29.0,25.3,13.0,15.94,462.4
2012,Quarter-finals,4,559946,2013-02-27T19:30:00+00:00,Borussia Dortmund,165,Bayern Munich,157,0.0,away,90.0,Allianz-Arena,1.0,2.0,1.0,2.0,1.0,1,4,395,Borussia Dortmund,1.0,Bundesliga,Borussia Dortmund,31.0,24.2,10.0,9.75,302.3
2012,Semi-finals,5,559947,2013-04-16T18:30:00+00:00,Bayern Munich,157,VfL Wolfsburg,161,1.0,home,90.0,Allianz-Arena,1.0,8.0,2.0,1.0,6.0,1,6,0,Bayern Munich,1.0,Bundesliga,Bayern Munich,29.0,25.3,13.0,15.94,462.4
2012,Semi-finals,5,559947,2013-04-16T18:30:00+00:00,VfL Wolfsburg,161,Bayern Munich,157,0.0,away,90.0,Allianz-Arena,1.0,2.0,8.0,11.0,-6.0,1,5,476,VfL Wolfsburg,1.0,Bundesliga,VfL Wolfsburg,36.0,25.8,26.0,3.03,109.0
2012,Semi-finals,5,559948,2013-04-17T18:30:00+00:00,VfB Stuttgart,172,SC Freiburg,160,1.0,home,90.0,Mercedes-Benz-Arena,1.0,12.0,6.0,12.0,6.0,1,6,0,VfB Stuttgart,1.0,Bundesliga,VfB Stuttgart,34.0,25.4,19.0,2.74,93.13
2012,Semi-finals,5,559948,2013-04-17T18:30:00+00:00,SC Freiburg,160,VfB Stuttgart,172,0.0,away,90.0,Mercedes-Benz-Arena,1.0,6.0,12.0,5.0,-6.0,1,5,133,SC Freiburg,1.0,Bundesliga,SC Freiburg,32.0,24.1,15.0,2.06,65.8
2012,Final,6,559949,2013-06-01T18:00:00+00:00,Bayern Munich,157,VfB Stuttgart,172,1.0,home,90.0,Olympiastadion Berlin,1.0,6.0,2.0,1.0,4.0,1,6,0,Bayern Munich,1.0,Bundesliga,Bayern Munich,29.0,25.3,13.0,15.94,462.4
2012,Final,6,559949,2013-06-01T18:00:00+00:00,VfB Stuttgart,172,Bayern Munich,157,0.0,away,90.0,Olympiastadion Berlin,1.0,2.0,6.0,12.0,-4.0,1,6,185,VfB Stuttgart,1.0,Bundesliga,VfB Stuttgart,34.0,25.4,19.0,2.74,93.13
2012,2nd Round,2,559950,2012-10-30T18:00:00+00:00,TSV 1860 Munich,786,BAK '07,9351,1.0,away,90.0,Friedrich-Ludwig-Jahn-Sportpark,,80.0,24.0,24.0,56.0,1,3,627,TSV 1860 Munich,1.0,Bundesliga_2,TSV 1860 Munich,33.0,25.5,11.0,0.525,17.33
2012,2nd Round,2,559951,2012-10-30T18:00:00+00:00,Preussen Munster,1313,FC Augsburg,170,0.0,home,90.0,Preußen-Stadion,1.0,14.0,48.0,40.0,-34.0,1,2,0,Preußen Münster,0.8387096774193549,Bundesliga_3,Preußen Münster,31.0,25.7,9.0,0.188,5.83
2012,2nd Round,2,559951,2012-10-30T18:00:00+00:00,FC Augsburg,170,Preussen Munster,1313,1.0,away,90.0,Preußen-Stadion,3.0,48.0,14.0,15.0,34.0,1,3,460,FC Augsburg,1.0,Bundesliga,FC Augsburg,33.0,26.2,18.0,1.17,38.45
2012,2nd Round,2,559952,2012-10-30T18:00:00+00:00,SC Freiburg,160,Eintracht Braunschweig,744,1.0,away,90.0,Eintracht-Stadion,2.0,26.0,12.0,5.0,14.0,1,5,514,SC Freiburg,1.0,Bundesliga,SC Freiburg,32.0,24.1,15.0,2.06,65.8
2012,2nd Round,2,559953,2012-10-30T18:00:00+00:00,1.FC Köln,192,Wormatia Worms,1663,1.0,away,120.0,EWR-Arena,,80.0,17.0,23.0,63.0,1,3,175,1.FC Köln,1.0,Bundesliga_2,1.FC Köln,31.0,24.0,14.0,0.785,24.35
2012,2nd Round,2,559954,2012-10-30T19:30:00+00:00,FC Schalke 04,174,SV Sandhausen,189,1.0,home,90.0,Veltins-Arena,3.0,37.0,3.0,4.0,34.0,1,3,0,FC Schalke 04,1.0,Bundesliga,FC Schalke 04,34.0,24.8,22.0,5.4,183.55
2012,2nd Round,2,559954,2012-10-30T19:30:00+00:00,SV Sandhausen,189,FC Schalke 04,174,0.0,away,90.0,Veltins-Arena,1.0,3.0,37.0,35.0,-34.0,1,2,272,SV Sandhausen,1.0,Bundesliga_2,SV Sandhausen,31.0,27.0,9.0,0.313,9.7
2012,2nd Round,2,559955,2012-10-30T19:30:00+00:00,Havelse,9342,Vfl Bochum,176,0.0,home,90.0,Wilhelm-Langrehr-Stadion,2.0,29.0,80.0,80.0,-51.0,1,2,0,TSV Havelse,0.7777777777777778,,,,,,,
2012,2nd Round,2,559956,2012-10-30T19:30:00+00:00,VfR Aalen,1327,Borussia Dortmund,165,0.0,home,90.0,Scholz Arena,1.0,1.0,38.0,27.0,-37.0,1,2,0,VfR Aalen,1.0,Bundesliga_2,VfR Aalen,26.0,26.6,7.0,0.45,11.7
