cup_name,financial_name,city
Vale Formoso,None,Covilhã
Pombal,None,Pombal
AD Fornos Algodres,None,Fornos de Algodres
Ferreiras,None,Albufeira
Estrela Vendas Novas,None,Vendas Novas
Charneca Caparica,None,Almada
Mação,None,Mação
Arões,None,Fafe
Machico,None,Machico
Câmara de Lobos,None,Câmara de Lobos
Esposende,None,Esposende
Monção,None,Monção
Sabugal,None,Sabugal
Ginásio Figueirense,None,Figueira da Foz
Tocha,None,Tocha
Ferreira de Aves,None,Sátão
Paredes,None,Paredes
União Lamas,None,Santa Maria de Lamas
Rio Tinto,None,Gondomar
Régua,None,Peso da Régua
Atlético Riachense,None,Riachos
Castrense,None,Castro Verde
Silves,None,Silves
Valenciano,None,Valença
Chaves II,None,Chaves
União Santiago,None,Santiago do Cacém
Leça,None,Leça da Palmeira
Portalegrense,None,Portalegre
Caçadores das Taipas,None,Guimarães
Alverca,None,Alverca do Ribatejo
Vasco da Gama Vidigueira,None,Vidigueira
União de Tomar,None,Tomar
Vila Flor,None,Vila Flor
Oliveira Hospital,None,Oliveira do Hospital
Peniche,None,Peniche
Eirense,None,Coimbra
GRAP,None,Leiria
CD Torres Novas,None,Torres Novas
Vila Silgueiros,None,Viseu
Mirandês,None,Miranda do Douro
Graciosa,None,Santa Cruz da Graciosa
Marítimo Graciosa,None,Santa Cruz da Graciosa
Coutada,None,Viseu
Juventude Évora,None,Évora
Vianense,None,Viana do Castelo
Vinhais,None,Bragança
Vieira,None,Vieira do Minho
Sporting Mêda,None,Mêda
Lagos,None,Lagos
Manteigas,None,Manteigas
Bustelo,None,Oliveira de Azeméis
Rebordelo,None,Bragança
Vila Pouca,None,Vila Pouca de Aguiar
GD Prado,None,Vila Verde
Carção,None,Vimioso
Vilarinho,None,Santo Tirso
Pevidem,None,Guimarães
Berço,None,Guimarães
Porto Cruz,None,Porto Moniz
Castro Daire,None,Castro Daire
Rebordosa,None,Paredes
São João Ver,None,Santa Maria da Feira
Pampilhosense,None,Pampilhosa da Serra
Vila Cortez,None,Guarda
Ançã,None,Cantanhede
AD Portomosense,None,Porto de Mós
Vila Velha de Ródão,None,Vila Velha de Ródão
União Almeirim,None,Almeirim
União Santarém,None,Santarém
Sintra,None,Sintra
Fayal,None,Horta
Velense,None,"São Jorge, Azores"
Alcochetense,None,Alcochete
Fontinhas,None,Praia da Vitória
Penedo Gordo,None,Beja
Vasco da Gama AC,None,Vidigueira
Amares,None,Amares
Brito,None,Guimarães
Tirsense,None,Santo Tirso
Vila Meã,None,Amarante
Lusitânia Lourosa,None,Santa Maria da Feira
Foz,None,Porto
Santa Marta Penaguião,None,Vila Real
Calvão,None,Vagos
Alqueidão da Serra,None,Porto de Mós
União Ericeirense,None,Mafra
Madalena,None,"Madalena, Pico Island"
Oriental Dragon,None,Lisbon
Lusitano Évora 1911,None,Évora
Culatrense,None,Faro
Estrela,CF Estrela Amadora,Amadora
