Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2016,2nd Round,2,TEC,1255,Cambuur,420,0.0,75.0,75.0,,0.0,1,2.0
2016,2nd Round,2,Cambuur,420,TEC,1255,1.0,75.0,75.0,,0.0,1,5.0
2016,2nd Round,2,Vvsb,1251,Katwijk,1237,1.0,75.0,75.0,,0.0,1,3.0
2016,2nd Round,2,Katwijk,1237,Vvsb,1251,0.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Feyenoord,209,FC OSS,423,1.0,75.0,75.0,,0.0,1,4.0
2016,1st Round,1,FC OSS,423,Feyenoord,209,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,ASV De Dijk,1260,Vitesse,200,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Vitesse,200,ASV De Dijk,1260,1.0,75.0,75.0,,0.0,1,6.0
2016,1st Round,1,Hsc 21,1281,TEC,1255,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,TEC,1255,Hsc 21,1281,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Twente,415,Utrecht,207,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Utrecht,207,Twente,415,1.0,75.0,75.0,,0.0,1,4.0
2016,1st Round,1,Ajax,194,Willem II,195,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,Willem II,195,Ajax,194,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Achilles Veen,1282,Vvsb,1251,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Vvsb,1251,Achilles Veen,1282,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,De Treffers,1277,ASWH,1254,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,ASWH,1254,De Treffers,1277,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,DVS 33 Ermelo,1244,PEC Zwolle,193,0.0,75.0,75.0,,0.0,1,1.0
