team_name,opponent_name,team_city,opponent_city,distance
Carl Zeiss Jena,Union Berlin,Jena,Berlin,218
Carl Zeiss Jena,VfB Stuttgart,Jena,Stuttgart,291
Carl Zeiss Jena,VfL Wolfsburg,Jena,Wolfsburg,175
Carl Zeiss Jena,Werder Bremen,Jena,Bremen,303
Chemnitzer FC,1899 Hoffenheim,Chemnitz,Sinsheim,329
Chemnitzer FC,Bayern Munich,Chemnitz,Munich,306
Chemnitzer FC,Borussia Dortmund,Chemnitz,Dortmund,385
Chemnitzer FC,Dynamo Dresden,Chemnitz,Dresden,73
Chemnitzer FC,FSV Mainz 05,Chemnitz,Mainz,334
Chemnitzer FC,Hamburger SV,Chemnitz,Hamburg,367
Chemnitzer FC,Union Berlin,Chemnitz,Berlin,191
Chemnitzer FC,Werder Bremen,Chemnitz,Bremen,369
Dynamo Dresden,Arminia Bielefeld,Dresden,Bielefeld,379
Dynamo Dresden,Bayer Leverkusen,Dresden,Leverkusen,474
Dynamo Dresden,FC Schalke 04,Dresden,Gelsenkirchen,467
Dynamo Dresden,FC St. Pauli,Dresden,Hamburg,380
Dynamo Dresden,Hamburger SV,Dresden,Hamburg,385
Dynamo Dresden,RB Leipzig,Dresden,Leipzig,104
Dynamo Dresden,SC Paderborn 07,Dresden,Paderborn,356
Dynamo Dresden,SV Darmstadt 98,Dresden,Darmstadt,384
Dynamo Dresden,VfB Stuttgart,Dresden,Stuttgart,410
Dynamo Dresden,Vfl Bochum,Dresden,Bochum,457
Düren Merzenich,Bayern Munich,Düren,Munich,469
Eichstätt,Hertha Berlin,Eichstätt,Berlin,440
Eimsbütteler TV,SpVgg Greuther Furth,Hamburg,Fürth,456
Einheit Wernigerode,SC Paderborn 07,Wernigerode,Paderborn,141
Eintracht Braunschweig,Bayern Munich,Braunschweig,Munich,463
Eintracht Braunschweig,Borussia Dortmund,Braunschweig,Dortmund,235
Eintracht Braunschweig,Hamburger SV,Braunschweig,Hamburg,155
Eintracht Braunschweig,Hertha Berlin,Braunschweig,Berlin,187
Eintracht Braunschweig,SC Freiburg,Braunschweig,Freiburg,514
Eintracht Braunschweig,VfL Wolfsburg,Braunschweig,Wolfsburg,24
Eintracht Celle,FC Augsburg,Celle,Augsburg,477
Eintracht Frankfurt,Arminia Bielefeld,Frankfurt am Main,Bielefeld,216
Eintracht Frankfurt,Borussia Dortmund,Frankfurt am Main,Dortmund,174
Eintracht Frankfurt,Borussia Monchengladbach,Frankfurt am Main,Mönchengladbach,193
Eintracht Frankfurt,FC Ingolstadt 04,Frankfurt am Main,Ingolstadt,257
Eintracht Frankfurt,FC Kaiserslautern,Frankfurt am Main,Kaiserslautern,89
Eintracht Frankfurt,FSV Mainz 05,Frankfurt am Main,Mainz,21
Eintracht Frankfurt,RB Leipzig,Frankfurt am Main,Leipzig,305
Eintracht Frankfurt,SV Darmstadt 98,Frankfurt am Main,Darmstadt,26
Eintracht Frankfurt,SV Sandhausen,Frankfurt am Main,Sandhausen,84
Eintracht Frankfurt,Union Berlin,Frankfurt am Main,Berlin,440
Eintracht Frankfurt,Vfl Bochum,Frankfurt am Main,Bochum,182
Eintracht Frankfurt,Werder Bremen,Frankfurt am Main,Bremen,332
Eintracht Norderstedt,Bayer Leverkusen,Norderstedt,Leverkusen,359
Eintracht Norderstedt,Hannover 96,Norderstedt,Hannover,145
Eintracht Norderstedt,SpVgg Greuther Furth,Norderstedt,Fürth,470
Eintracht Norderstedt,VfL Wolfsburg,Norderstedt,Wolfsburg,150
Eintracht Trier,1.FC Köln,Trier,Cologne,128
Eintracht Trier,Borussia Dortmund,Trier,Dortmund,197
Eintracht Trier,FC St. Pauli,Trier,Hamburg,479
Eintracht Trier,Hamburger SV,Trier,Hamburg,491
Eintracht Trier,SC Freiburg,Trier,Freiburg,218
Energie Cottbus,Bayern Munich,Cottbus,Munich,446
Energie Cottbus,FSV Mainz 05,Cottbus,Mainz,471
Energie Cottbus,Hamburger SV,Cottbus,Hamburg,359
Energie Cottbus,SC Freiburg,Cottbus,Freiburg,624
Energie Cottbus,VfB Stuttgart,Cottbus,Stuttgart,491
Energie Cottbus,Werder Bremen,Cottbus,Bremen,402
Erzgebirge AUE,Eintracht Frankfurt,Aue,Frankfurt am Main,303
Erzgebirge AUE,FC Heidenheim,Aue,Heidenheim an der Brenz,283
Erzgebirge AUE,FC Nurnberg,Aue,Nuremberg,171
Erzgebirge AUE,SpVgg Greuther Furth,Aue,Fürth,172
Erzgebirge Aue,FC Ingolstadt 04,Aue,Ingolstadt,224
Erzgebirge Aue,FSV Mainz 05,Aue,Mainz,324
FC 08 Homburg,Borussia Monchengladbach,Homburg,Mönchengladbach,217
FC 08 Homburg,VfB Stuttgart,Homburg,Stuttgart,149
FC 08 Villingen,FC Schalke 04,Villingen-Schwenningen,Gelsenkirchen,396
FC 08 Villingen,Fortuna Dusseldorf,Villingen-Schwenningen,Düsseldorf,372
FC Astoria Walldorf,Arminia Bielefeld,Walldorf,Bielefeld,303
FC Astoria Walldorf,Hannover 96,Walldorf,Hannover,350
