stage,causal_effect,std_error,p_value,r_squared,f_stat,f_p_value,grid_id,instrument,control_vars,significant
1,-16.51898345196963,2.736140359256591,3.5186862021292287e-09,0.6032839935497946,46.85753913302316,4.762813865043282e-26,1,opponent_rank_prev,"['team_size', 'foreigners']",True
2,-3.4434911431539237,4.192806664345004,0.4122055931012565,0.512873386287005,13.315694104555998,3.9152586239921785e-08,1,opponent_rank_prev,"['team_size', 'foreigners']",False
3,14.855880324008373,9.065932592682925,0.10351592549525672,0.5779575149984637,3.3510412105957346,0.020862422483933604,1,opponent_rank_prev,"['team_size', 'foreigners']",False
4,-0.989905114760238,6.518839904225976,0.8797592471429216,0.4717058414989669,6.148932517071333,0.0009330460342486954,1,opponent_rank_prev,"['team_size', 'foreigners']",False
5,-2.9922234947053425,5.46614980569989,0.5877807405894326,0.17690372637871932,2.049007889421466,0.12605178686832516,1,opponent_rank_prev,"['team_size', 'foreigners']",False
6,-4.506232755002719,3.3219362548276563,0.19170908885180604,0.21169275158763778,1.5527734581223798,0.2354008573146418,1,opponent_rank_prev,"['team_size', 'foreigners']",False
1,-34.24981574763548,2.6236566455954122,8.421557411778025e-33,0.29687375589380205,42.14299046113152,9.471809538436594e-24,2,opponent_rank_prev,"['team_size', 'mean_age']",True
2,-9.298253999862645,5.488662121637096,0.09139823669567432,0.02415438703175421,9.355581741257017,6.6254326663291695e-06,2,opponent_rank_prev,"['team_size', 'mean_age']",True
3,5.886013945591547,12.727923453148007,0.6444722899609636,0.0046584948939892845,1.5018023648707401,0.21674260923976965,2,opponent_rank_prev,"['team_size', 'mean_age']",False
4,-0.2953956688370334,8.673708740229293,0.9729333996460787,0.012524699125253558,2.465409611465537,0.06978264114633684,2,opponent_rank_prev,"['team_size', 'mean_age']",False
5,-5.2720586877000395,5.829621338194383,0.37236126269852243,0.09856384758889436,2.0556592678456194,0.12512285183037888,2,opponent_rank_prev,"['team_size', 'mean_age']",False
6,-5.698943709036736,3.9889279316072637,0.17021714045829214,0.1803550829546402,1.9325694480206201,0.16050808665302013,2,opponent_rank_prev,"['team_size', 'mean_age']",False
1,-28.71074791860833,2.2155112446473875,2.033502680606852e-32,0.6041890191937194,51.26462467676446,3.8075633008843676e-28,3,opponent_rank_prev,"['team_size', 'total_value']",True
2,-8.572211320602833,3.9823349384129823,0.032236260386595696,0.49320350507742483,17.755302734228394,1.497928764220255e-10,3,opponent_rank_prev,"['team_size', 'total_value']",True
3,-0.01508338010158028,8.186754838032426,0.998532572393581,0.48653564772390157,7.649597115954861,8.963624855050783e-05,3,opponent_rank_prev,"['team_size', 'total_value']",False
4,-0.40692870674728754,6.512964003310756,0.9503667661562749,0.486704558573972,7.7124266015756096,0.00016823410025039725,3,opponent_rank_prev,"['team_size', 'total_value']",False
5,-0.8778421899543641,4.372541805403425,0.8421165832600055,0.6178640988443402,5.910043416859153,0.002413873664084026,3,opponent_rank_prev,"['team_size', 'total_value']",False
6,0.8630647628891004,2.5874050935554918,0.7425630489788355,0.7499370918514574,1.9607382634399357,0.1560707027937474,3,opponent_rank_prev,"['team_size', 'total_value']",False
1,-23.862304291896198,3.172952217053318,3.490626489694865e-13,0.36695633180045184,42.43658510295011,6.785505568570078e-24,4,opponent_rank_prev,"['team_size', 'distance']",True
2,-7.7938605640416,5.239248056314597,0.13802128205711567,0.018531633209178167,8.345708593204643,2.508841154739178e-05,4,opponent_rank_prev,"['team_size', 'distance']",False
3,7.484968096878095,11.173570905808091,0.50402892012631,0.010380583855069347,2.1889895854174655,0.09200892037276076,4,opponent_rank_prev,"['team_size', 'distance']",False
4,3.6811037948873677,10.80346939509321,0.7343703552561105,0.03885725246315397,2.6858210735248247,0.05347890621327905,4,opponent_rank_prev,"['team_size', 'distance']",False
5,-4.250575725502235,5.351127788806832,0.4326773187379336,0.087535864602578,3.0816544439403004,0.04075503758324774,4,opponent_rank_prev,"['team_size', 'distance']",False
6,-4.191961137227084,3.1871113205855206,0.20492347537046968,0.1844257266339724,4.7251591112661835,0.013310381219265189,4,opponent_rank_prev,"['team_size', 'distance']",False
1,4.141575939088558,4.110816033667638,0.3142985379508043,0.5211085179239762,42.96734371122768,3.717965252639051e-24,5,opponent_rank_prev,"['team_size', 'team_home']",False
2,-5.550491123319956,5.268207578284347,0.2930125769079223,0.028795405023633536,8.001020139424194,3.9596102875348355e-05,5,opponent_rank_prev,"['team_size', 'team_home']",False
3,10.484933911542173,10.633381135894842,0.32580273308951224,0.03873351927738,2.42007928346061,0.06864288385528979,5,opponent_rank_prev,"['team_size', 'team_home']",False
4,4.429912349263802,10.662339009361691,0.6791234043818748,0.04063237934466757,2.3411247442828116,0.08108313286921222,5,opponent_rank_prev,"['team_size', 'team_home']",False
5,-4.817218692788533,5.8710795070872015,0.41781901054320236,0.0898189009192274,2.5421490899009624,0.07312049073598985,5,opponent_rank_prev,"['team_size', 'team_home']",False
6,-4.385802298443729,3.4786575126950803,0.22348813013740745,0.15354799359725002,4.167695376709704,0.02090607882338627,5,opponent_rank_prev,"['team_size', 'team_home']",False
1,-34.043027156361134,2.646133784862858,4.830931943569717e-32,0.293265569153642,42.05974397270157,1.0412289069190341e-23,6,opponent_rank_prev,"['team_size', 'extra_time']",True
2,-9.670669407224416,5.42926638792134,0.07599792386570721,0.020392673527199756,7.566966482155013,7.042853169495218e-05,6,opponent_rank_prev,"['team_size', 'extra_time']",False
3,4.577934091516833,12.825135078827715,0.7216627611323929,0.005728111962305049,1.41925814924614,0.23970765057766574,6,opponent_rank_prev,"['team_size', 'extra_time']",False
