stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
1,-0.42235366454128564,0.19917183380780945,0.034562551035039996,0.032244184086784644,35.43032590192564,2.2791767057330703e-20,-0.2081483210252035,22,team_better,"['total_value', 'next_fixture_days']",True
2,0.029066965255006422,0.22178747123072698,0.8958268675387187,0.06720585208731955,23.684325489090536,1.207815462931328e-13,0.014325056281205992,22,team_better,"['total_value', 'next_fixture_days']",False
3,-0.6018985366518459,0.34904434553160585,0.08682378303733222,0.04331579510451533,11.889313945269224,5.47371358426473e-07,-0.2966333202475669,22,team_better,"['total_value', 'next_fixture_days']",True
4,0.5080789915438862,0.29551595751221615,0.09017787308085609,0.24933878838684587,17.06258459501988,2.445881161527108e-08,0.250396286138298,22,team_better,"['total_value', 'next_fixture_days']",True
5,-0.2777272576235172,0.9723525212648868,0.7769513111629652,0.04398020555064208,4.867529522804034,0.006525779135960434,-0.13687216953605572,22,team_better,"['total_value', 'next_fixture_days']",False
6,0.07701113299464024,0.454479611409553,0.8675673181186632,0.06503904043598052,4.449323569063737,0.01868047043265465,0.037953353738490146,22,team_better,"['total_value', 'next_fixture_days']",False
