Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win
2023,1st Round,1,Sutton Utd,1835,Cambridge United,1370,1.0
2023,1st Round,1,Cambridge United,1370,Sutton Utd,1835,0.0
2023,1st Round,1,Milton Keynes Dons,1348,Wycombe,1358,0.0
2023,1st Round,1,Wycombe,1358,Milton Keynes Dons,1348,1.0
2023,1st Round,1,Millwall,58,Reading,53,0.0
2023,1st Round,1,Reading,53,Millwall,58,1.0
2023,1st Round,1,AFC Wimbledon,1333,Coventry,1346,1.0
2023,1st Round,1,Coventry,1346,AFC Wimbledon,1333,0.0
2023,1st Round,1,Bristol City,56,Oxford United,1338,1.0
2023,1st Round,1,Oxford United,1338,Bristol City,56,0.0
2023,1st Round,1,Gillingham,1347,Southampton,41,1.0
2023,1st Round,1,Southampton,41,Gillingham,1347,0.0
2023,1st Round,1,QPR,72,Norwich,71,0.0
2023,1st Round,1,Norwich,71,QPR,72,1.0
2023,1st Round,1,Peterborough,1350,Swindon Town,1353,1.0
2023,1st Round,1,Swindon Town,1353,Peterborough,1350,0.0
2023,1st Round,1,Cardiff,43,Colchester,1361,1.0
2023,1st Round,1,Colchester,1361,Cardiff,43,0.0
2023,1st Round,1,Bolton,68,Barrow,1819,1.0
2023,1st Round,1,Barrow,1819,Bolton,68,0.0
2023,1st Round,1,Hull City,64,Doncaster,1354,0.0
2023,1st Round,1,Doncaster,1354,Hull City,64,1.0
2023,1st Round,1,Mansfield Town,1374,Grimsby,1365,1.0
2023,1st Round,1,Grimsby,1365,Mansfield Town,1374,0.0
2023,1st Round,1,Stoke City,75,West Brom,60,1.0
2023,1st Round,1,West Brom,60,Stoke City,75,0.0
2023,1st Round,1,Sheffield Wednesday,74,Stockport County,4686,1.0
2023,1st Round,1,Stockport County,4686,Sheffield Wednesday,74,0.0
2023,1st Round,1,Leeds,63,Shrewsbury,1352,1.0
2023,1st Round,1,Shrewsbury,1352,Leeds,63,0.0
2023,1st Round,1,Preston,59,Salford City,1844,0.0
2023,1st Round,1,Salford City,1844,Preston,59,1.0
2023,1st Round,1,Rotherham,73,Morecambe,1375,1.0
2023,1st Round,1,Morecambe,1375,Rotherham,73,0.0
2023,1st Round,1,Harrogate Town,1842,Carlisle,1371,1.0
2023,1st Round,1,Carlisle,1371,Harrogate Town,1842,0.0
2023,1st Round,1,Burton Albion,748,Leicester,46,0.0
2023,1st Round,1,Leicester,46,Burton Albion,748,1.0
2023,1st Round,1,Accrington ST,1360,Bradford,1343,0.0
2023,1st Round,1,Bradford,1343,Accrington ST,1360,1.0
2023,1st Round,1,Derby,69,Blackpool,1356,0.0
2023,1st Round,1,Blackpool,1356,Derby,69,1.0
2023,1st Round,1,Port Vale,1351,Fleetwood Town,1336,1.0
2023,1st Round,1,Fleetwood Town,1336,Port Vale,1351,0.0
2023,1st Round,1,Barnsley,747,Tranmere,1381,0.0
2023,1st Round,1,Tranmere,1381,Barnsley,747,1.0
2023,1st Round,1,Blackburn,67,Walsall,1342,1.0
2023,1st Round,1,Walsall,1342,Blackburn,67,0.0
2023,1st Round,1,Huddersfield,37,Middlesbrough,70,0.0
2023,1st Round,1,Middlesbrough,70,Huddersfield,37,1.0
2023,1st Round,1,Wrexham,1837,Wigan,61,1.0
2023,1st Round,1,Wigan,61,Wrexham,1837,0.0
2023,1st Round,1,Sunderland,746,Crewe,1363,0.0
2023,1st Round,1,Crewe,1363,Sunderland,746,1.0
2023,1st Round,1,Notts County,1376,Lincoln,1379,0.0
2023,1st Round,1,Lincoln,1379,Notts County,1376,1.0
2023,2nd Round,2,Tranmere,1381,Leicester,46,0.0
2023,2nd Round,2,Leicester,46,Tranmere,1381,1.0
2023,2nd Round,2,Salford City,1844,Leeds,63,1.0
2023,2nd Round,2,Leeds,63,Salford City,1844,0.0
2023,2nd Round,2,Harrogate Town,1842,Blackburn,67,0.0
2023,2nd Round,2,Blackburn,67,Harrogate Town,1842,1.0
2023,2nd Round,2,Stoke City,75,Rotherham,73,1.0
2023,2nd Round,2,Rotherham,73,Stoke City,75,0.0
2023,2nd Round,2,Wrexham,1837,Bradford,1343,0.0
2023,2nd Round,2,Bradford,1343,Wrexham,1837,1.0
2023,2nd Round,2,Doncaster,1354,Everton,45,0.0
2023,2nd Round,2,Everton,45,Doncaster,1354,1.0
2023,2nd Round,2,Bolton,68,Middlesbrough,70,0.0
2023,2nd Round,2,Middlesbrough,70,Bolton,68,1.0
2023,2nd Round,2,Port Vale,1351,Crewe,1363,1.0
2023,2nd Round,2,Crewe,1363,Port Vale,1351,0.0
2023,2nd Round,2,Nottingham Forest,65,Burnley,44,0.0
2023,2nd Round,2,Burnley,44,Nottingham Forest,65,1.0
2023,2nd Round,2,Sheffield Wednesday,74,Mansfield Town,1374,0.0
2023,2nd Round,2,Mansfield Town,1374,Sheffield Wednesday,74,1.0
2023,2nd Round,2,Wolves,39,Blackpool,1356,1.0
2023,2nd Round,2,Blackpool,1356,Wolves,39,0.0
2023,2nd Round,2,Sheffield Utd,62,Lincoln,1379,0.0
2023,2nd Round,2,Lincoln,1379,Sheffield Utd,62,1.0
2023,2nd Round,2,Plymouth,1357,Crystal Palace,52,0.0
2023,2nd Round,2,Crystal Palace,52,Plymouth,1357,1.0
2023,2nd Round,2,Reading,53,Ipswich,57,0.0
2023,2nd Round,2,Ipswich,57,Reading,53,1.0
2023,2nd Round,2,Portsmouth,1355,Peterborough,1350,0.0
2023,2nd Round,2,Peterborough,1350,Portsmouth,1355,1.0
2023,2nd Round,2,Luton,1359,Gillingham,1347,1.0
2023,2nd Round,2,Gillingham,1347,Luton,1359,0.0
2023,2nd Round,2,Swansea,76,Bournemouth,35,0.0
2023,2nd Round,2,Bournemouth,35,Swansea,76,1.0
2023,2nd Round,2,Fulham,36,Tottenham,47,1.0
2023,2nd Round,2,Tottenham,47,Fulham,36,0.0
2023,2nd Round,2,Exeter City,1364,Stevenage,1368,1.0
2023,2nd Round,2,Stevenage,1368,Exeter City,1364,0.0
2023,2nd Round,2,Wycombe,1358,Sutton Utd,1835,0.0
2023,2nd Round,2,Sutton Utd,1835,Wycombe,1358,1.0
2023,2nd Round,2,Birmingham,54,Cardiff,43,0.0
2023,2nd Round,2,Cardiff,43,Birmingham,54,1.0
2023,2nd Round,2,Newport County,1367,Brentford,55,0.0
2023,2nd Round,2,Brentford,55,Newport County,1367,1.0
2023,2nd Round,2,Chelsea,49,AFC Wimbledon,1333,1.0
2023,2nd Round,2,AFC Wimbledon,1333,Chelsea,49,0.0
2023,2nd Round,2,Bristol City,56,Norwich,71,0.0
2023,2nd Round,2,Norwich,71,Bristol City,56,1.0
2023,3rd Round,3,Ipswich,57,Wolves,39,1.0
2023,3rd Round,3,Wolves,39,Ipswich,57,0.0
2023,3rd Round,3,Exeter City,1364,Luton,1359,1.0
2023,3rd Round,3,Luton,1359,Exeter City,1364,0.0
2023,3rd Round,3,Aston Villa,66,Everton,45,0.0
2023,3rd Round,3,Everton,45,Aston Villa,66,1.0
2023,3rd Round,3,Manchester United,33,Crystal Palace,52,1.0
2023,3rd Round,3,Crystal Palace,52,Manchester United,33,0.0
2023,3rd Round,3,Port Vale,1351,Sutton Utd,1835,1.0
2023,3rd Round,3,Sutton Utd,1835,Port Vale,1351,0.0
2023,3rd Round,3,Bradford,1343,Middlesbrough,70,0.0
2023,3rd Round,3,Middlesbrough,70,Bradford,1343,1.0
2023,3rd Round,3,Bournemouth,35,Stoke City,75,1.0
2023,3rd Round,3,Stoke City,75,Bournemouth,35,0.0
2023,3rd Round,3,Lincoln,1379,West Ham,48,0.0
2023,3rd Round,3,West Ham,48,Lincoln,1379,1.0
2023,3rd Round,3,Brentford,55,Arsenal,42,0.0
2023,3rd Round,3,Arsenal,42,Brentford,55,1.0
2023,3rd Round,3,Chelsea,49,Brighton,51,1.0
2023,3rd Round,3,Brighton,51,Chelsea,49,0.0
2023,3rd Round,3,Salford City,1844,Burnley,44,0.0
2023,3rd Round,3,Burnley,44,Salford City,1844,1.0
2023,3rd Round,3,Fulham,36,Norwich,71,1.0
2023,3rd Round,3,Norwich,71,Fulham,36,0.0
2023,3rd Round,3,Blackburn,67,Cardiff,43,1.0
2023,3rd Round,3,Cardiff,43,Blackburn,67,0.0
2023,3rd Round,3,Liverpool,40,Leicester,46,1.0
2023,3rd Round,3,Leicester,46,Liverpool,40,0.0
2023,3rd Round,3,Newcastle,34,Manchester City,50,1.0
2023,3rd Round,3,Manchester City,50,Newcastle,34,0.0
2023,3rd Round,3,Mansfield Town,1374,Peterborough,1350,1.0
2023,3rd Round,3,Peterborough,1350,Mansfield Town,1374,0.0
2023,Round of 16,4,Mansfield Town,1374,Port Vale,1351,0.0
2023,Round of 16,4,Port Vale,1351,Mansfield Town,1374,1.0
2023,Round of 16,4,Ipswich,57,Fulham,36,0.0
2023,Round of 16,4,Fulham,36,Ipswich,57,1.0
2023,Round of 16,4,Manchester United,33,Newcastle,34,0.0
2023,Round of 16,4,Newcastle,34,Manchester United,33,1.0
2023,Round of 16,4,Bournemouth,35,Liverpool,40,0.0
2023,Round of 16,4,Liverpool,40,Bournemouth,35,1.0
2023,Round of 16,4,Chelsea,49,Blackburn,67,1.0
2023,Round of 16,4,Blackburn,67,Chelsea,49,0.0
2023,Round of 16,4,West Ham,48,Arsenal,42,1.0
2023,Round of 16,4,Arsenal,42,West Ham,48,0.0
2023,Round of 16,4,Everton,45,Burnley,44,1.0
2023,Round of 16,4,Burnley,44,Everton,45,0.0
2023,Round of 16,4,Exeter City,1364,Middlesbrough,70,0.0
2023,Round of 16,4,Middlesbrough,70,Exeter City,1364,1.0
