stage,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
1,Model 1,opponent_league_rank_prev,0.03373270941533396,0.020021728594689488,1.6848050484652528,0.10240334039130641,0.08644006787679337,2.83856805133401,0.10240334039130622,32.0,0.9817073170731736,1.4700712427142995,0.6677957425114827,0.5093691533464532,0.01464730569476791,32.0
1,Model 1,opponent_division,0.3450403661233097,0.12677683606743276,2.7216357248400036,0.01071078474617462,0.08644006787679337,2.83856805133401,0.10240334039130622,32.0,0.9817073170731736,1.4700712427142995,0.6677957425114827,0.5093691533464532,0.01464730569476791,32.0
1,Model 2,opponent_league_rank_prev,0.021403558561860547,0.020371195395897462,1.0506775938230406,0.30208375755926586,0.18323346160493736,3.252931000934909,0.053139821096285754,32.0,1.1052598504367568,2.4803855746705783,0.44560001546676753,0.6591951200604316,0.024664879281278362,32.0
1,Model 2,opponent_division,0.5711480353394773,0.17245556245015986,3.311856267347368,0.002489507820013225,0.18323346160493736,3.252931000934909,0.053139821096285754,32.0,1.1052598504367568,2.4803855746705783,0.44560001546676753,0.6591951200604316,0.024664879281278362,32.0
1,Model 3,opponent_league_rank_prev,0.02481808869011845,0.019233836776186407,1.2903347875368245,0.20748894170946766,0.3016634826772956,4.031760860960903,0.01674679512609398,32.0,1.2118961536349677,2.1001969811061487,0.5770392799044385,0.5685238509752654,0.09828724097104202,32.0
1,Model 3,opponent_division,0.40687782146634044,0.17893991366960058,2.2738237273189394,0.030840322602825862,0.3016634826772956,4.031760860960903,0.01674679512609398,32.0,1.2118961536349677,2.1001969811061487,0.5770392799044385,0.5685238509752654,0.09828724097104202,32.0
1,Model 4,opponent_league_rank_prev,0.022393821693849035,0.01944948315649475,1.151383896099629,0.25966863579483773,0.3236232668810137,3.2296454689883,0.02737999487525718,32.0,1.6653961720622423,2.3457301398927553,0.7099692090490779,0.48381041648306444,0.13251165627469674,32.0
1,Model 4,opponent_division,0.1614023623325072,0.3176503987134627,0.5081132055436222,0.6155003238714902,0.3236232668810137,3.2296454689883,0.02737999487525718,32.0,1.6653961720622423,2.3457301398927553,0.7099692090490779,0.48381041648306444,0.13251165627469674,32.0
1,Model 5,opponent_league_rank_prev,0.017671513553006682,0.019874730698082644,0.8891448051022643,0.38207825508029036,0.3527262952399598,2.8336957329786228,0.035834455560071546,32.0,1.1554790344192596,2.985862503440065,0.3869833366700616,0.7019179798936928,0.1978581867357906,32.0
1,Model 5,opponent_division,0.2761522817199849,0.3339726749350415,0.8268708862894163,0.4158346869678231,0.3527262952399598,2.8336957329786228,0.035834455560071546,32.0,1.1554790344192596,2.985862503440065,0.3869833366700616,0.7019179798936928,0.1978581867357906,32.0
1,Model 6,opponent_league_rank_prev,0.02569120892105467,0.023716030820862596,1.0832845139691143,0.28990840720591116,0.3717724949542791,1.7013676007639371,0.1517647965517591,32.0,-0.3564075306488247,2.3618368538352326,-0.15090268833347983,0.8813681693476694,0.27692991096687736,32.0
1,Model 6,opponent_division,0.7674621616670604,2.497375189410145,0.3073075142739475,0.7613746350124331,0.3717724949542791,1.7013676007639371,0.1517647965517591,32.0,-0.3564075306488247,2.3618368538352326,-0.15090268833347983,0.8813681693476694,0.27692991096687736,32.0
1,Model 7,opponent_league_rank_prev,0.0313281763393677,0.023394233144320514,1.3391409817155444,0.19419746029057622,0.4303030024809139,1.846335487852022,0.11591298387022934,32.0,-0.7122108674846415,1.9269963395932443,-0.36959637797494566,0.7152170607673307,0.332983000798346,32.0
1,Model 7,opponent_division,-0.2717318816433638,2.5279781841489175,-0.10748980483581448,0.9153746684884774,0.4303030024809139,1.846335487852022,0.11591298387022934,32.0,-0.7122108674846415,1.9269963395932443,-0.36959637797494566,0.7152170607673307,0.332983000798346,32.0
2,Model 1,opponent_league_rank_prev,0.03042223970626809,0.01613568414230395,1.8854012905785733,0.07017951923653856,0.20225138311290958,3.422624137762342,0.047336027507290886,30.0,0.0435014163431319,1.1657597515736295,0.03731593605321374,0.9704978805999038,4.972892275134644e-05,30.0
2,Model 1,opponent_division,0.40359005740595,0.2922736626803496,1.3808635841654457,0.1786449326197722,0.20225138311290958,3.422624137762342,0.047336027507290886,30.0,0.0435014163431319,1.1657597515736295,0.03731593605321374,0.9704978805999038,4.972892275134644e-05,30.0
2,Model 2,opponent_league_rank_prev,0.033567867021767284,0.01373853013462376,2.443337583630562,0.021651250857087766,0.4456520393657667,6.96731646687111,0.0013598750011452737,30.0,0.27946488565144023,0.964433785538105,0.28977094108696433,0.7742051784876768,0.202208370541616,30.0
2,Model 2,opponent_division,0.44646286619020076,0.24860480927148543,1.795873810722009,0.08414592924054401,0.4456520393657667,6.96731646687111,0.0013598750011452737,30.0,0.27946488565144023,0.964433785538105,0.28977094108696433,0.7742051784876768,0.202208370541616,30.0
2,Model 3,opponent_league_rank_prev,0.032194327186390065,0.013870754307487626,2.321022092433078,0.02873196546602248,0.46318766261864974,5.392802455860871,0.00284866262002866,30.0,0.5532581863154583,0.9976847727365022,0.5545420772514675,0.5839471268111373,0.2723987727669337,30.0
2,Model 3,opponent_division,0.4225176339292402,0.25088916717508797,1.6840808181820697,0.10461291177166647,0.46318766261864974,5.392802455860871,0.00284866262002866,30.0,0.5532581863154583,0.9976847727365022,0.5545420772514675,0.5839471268111373,0.2723987727669337,30.0
