stage,type,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
4,top 20,Model 7,opponent_league_rank_prev,-0.006072457,0.012156505,-0.499523254,0.619023264,0.210750445,1.815779331,0.074173513,79,3.10394183,1.143395805,2.714669598,0.00837387,0.163571466,79
4,top 20,Model 7,opponent_division,0.164157497,0.068203108,2.406891735,0.018810059,0.210750445,1.815779331,0.074173513,79,3.10394183,1.143395805,2.714669598,0.00837387,0.163571466,79
5,top 20,Model 7,opponent_league_rank_prev,0.009136064,0.010148453,0.900241992,0.370992741,0.215821792,1.981586435,0.047911998,83,1.816332584,1.327934251,1.367788038,0.175574502,0.165033028,83
5,top 20,Model 7,opponent_division,0.091093782,0.053000689,1.718728267,0.089961114,0.215821792,1.981586435,0.047911998,83,1.816332584,1.327934251,1.367788038,0.175574502,0.165033028,83
6,top 20,Model 7,opponent_league_rank_prev,0.01803415,0.008922589,2.021178924,0.046564328,0.295100149,3.390994061,0.000970796,92,1.402831736,0.770779497,1.820016932,0.072405356,0.069957789,92
6,top 20,Model 7,opponent_division,0.163247052,0.045364716,3.598546802,0.000549417,0.295100149,3.390994061,0.000970796,92,1.402831736,0.770779497,1.820016932,0.072405356,0.069957789,92
