stage,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
1,Model 1,opponent_league_rank_prev,-0.027322404,0.045180179,-0.604743157,0.5621055003253028,0.043715847,0.36571428571428616,0.5621055003253017,10,-4.05,3.9739385375216942,-1.01914007,0.3379639162373002,0.1149117276166457,10
1,Model 1,opponent_division,0.6256830601092898,0.2703270252090832,2.3145412843031807,0.049338074,0.043715847,0.36571428571428616,0.5621055003253017,10,-4.05,3.9739385375216942,-1.01914007,0.3379639162373002,0.1149117276166457,10
1,Model 2,opponent_league_rank_prev,-0.010847275,0.051409828,-0.210996127,0.8389012354503615,0.11473286562331353,0.4536088758839307,0.6527700114786354,10,-3.128855721,10.053075440495993,-0.311233686,0.7646870059674369,0.3616827182531448,10
1,Model 2,opponent_division,0.4038316243928761,0.40615425950281747,0.9942813966477059,0.3532051371276256,0.11473286562331353,0.4536088758839307,0.6527700114786354,10,-3.128855721,10.053075440495993,-0.311233686,0.7646870059674369,0.3616827182531448,10
1,Model 3,opponent_league_rank_prev,0.023880188107671476,0.043880624,0.5442080305981649,0.6059154106527449,0.5165991272971043,2.137352894745859,0.19677702241331652,10,3.2774428896393273,4.821668205281723,0.6797321487300122,0.5220203595797839,0.46660692074856147,10
1,Model 3,opponent_division,-0.128109187,0.4022668488786596,-0.318468168,0.7609237605183716,0.5165991272971043,2.137352894745859,0.19677702241331652,10,3.2774428896393273,4.821668205281723,0.6797321487300122,0.5220203595797839,0.46660692074856147,10
1,Model 4,opponent_league_rank_prev,0.022157325402808327,0.049519142,0.4474497025825206,0.6732690876208479,0.5184970853703954,1.346038283509791,0.36941548157391463,10,3.562151567743417,5.875624424660227,0.6062592348130569,0.5708109547616935,0.4666518007135655,10
1,Model 4,opponent_division,-0.027980679,0.837923207,-0.033392892,0.974653322,0.5184970853703954,1.346038283509791,0.36941548157391463,10,3.562151567743417,5.875624424660227,0.6062592348130569,0.5708109547616935,0.4666518007135655,10
1,Model 5,opponent_league_rank_prev,0.023065214,0.053863213,0.4282183018121214,0.6905425341237355,0.5448094479999243,0.9575057225701531,0.5316025964704247,10,3.4341436762672477,6.312054630520816,0.5440611460588535,0.6153056453276788,0.4670572025076002,10
1,Model 5,opponent_division,-0.179475883,0.9638170962906145,-0.186213633,0.8613395908323969,0.5448094479999243,0.9575057225701531,0.5316025964704247,10,3.4341436762672477,6.312054630520816,0.5440611460588535,0.6153056453276788,0.4670572025076002,10
1,Model 6,opponent_league_rank_prev,0.2433251899881863,0.11292240248646325,2.1547999744103503,0.27661201126083135,0.9267644048101396,1.5818202924539948,0.550500514,10,-0.428631088,2.3918551406612036,-0.179204451,0.8871131498916403,0.6882393512244934,10
1,Model 6,opponent_division,10.555250783795051,6.183188244431177,1.7070887002836321,0.3373495341439422,0.9267644048101396,1.5818202924539948,0.550500514,10,-0.428631088,2.3918551406612036,-0.179204451,0.8871131498916403,0.6882393512244934,10
1,Model 7,opponent_league_rank_prev,0.29376820644737833,inf,0,,1,,,10,-1.240020179,inf,0,,1,10
1,Model 7,opponent_division,37.03249421789863,inf,0,,1,,,10,-1.240020179,inf,0,,1,10
2,Model 1,opponent_league_rank_prev,0.032836345193540006,0.008848362,3.7110083724690623,0.000309378,0.182429898,13.946044012004702,3.4104569823837163e-06,128,-0.214143025,0.5642689413849509,-0.379505249,0.7049515587791002,0.001141744,128
2,Model 1,opponent_division,0.2651406317299553,0.075032343,3.533684534890053,0.000575144,0.182429898,13.946044012004702,3.4104569823837163e-06,128,-0.214143025,0.5642689413849509,-0.379505249,0.7049515587791002,0.001141744,128
2,Model 2,opponent_league_rank_prev,0.035288777564768316,0.008376489,4.212836136772877,4.810470698340187e-05,0.27700724870516247,15.836442240913797,8.862332842679066e-09,128,-0.146113745,0.5151757066755398,-0.283619244,0.7771714039146131,0.14717622313890388,128
2,Model 2,opponent_division,0.2515903823878713,0.070922878,3.5473797698981646,0.000550096,0.27700724870516247,15.836442240913797,8.862332842679066e-09,128,-0.146113745,0.5151757066755398,-0.283619244,0.7771714039146131,0.14717622313890388,128
2,Model 3,opponent_league_rank_prev,0.034955452,0.008403792,4.159485709684455,5.93637121989171e-05,0.28022220255301444,11.971517819900326,3.0100826300569e-08,128,-0.151798545,0.5240476542981358,-0.289665537,0.772555913,0.14725653467606448,128
